query,positive,negative
"
In the sales contract between A and B, the quantity of the subject matter delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If the insufficiency in the quantity is due to grounds not attributable to either party, B may not cancel the contract for sale between A and B.
",The provisions of the preceding two Articles do not preclude the buyer from claiming compensation for loss or damage pursuant to the provisions of Article 415 or exercising the right to cancel pursuant to the provisions of Articles 541 and 542.,"(1) A guarantor to a guarantee contract under which the principal obligation is one or more unidentified obligations within a certain specified scope (hereinafter referred to as a ""contract for revolving guarantee"") and the guarantor is not a corporation (hereinafter referred to as a ""contract for revolving guarantee by an individual"") is liable to perform the obligation in terms of the amounts of the principal of the principal obligation, any interest, penalty and compensation for loss or damage in connection with the principal obligation, and all the other charges secondary to the obligation, as well as the amount of any penalty or compensation for loss or damage which is agreed- upon on with regard to the guarantee obligation, up to a certain maximum amount which pertains to all of these amounts.
(2) A contract for revolving guarantee by an individual does not become effective unless it provides for the maximum amount prescribed in the preceding paragraph.
(3) The provisions of Article 446, paragraphs (2) and (3) apply mutatis mutandis to the provisions concerning a maximum amount prescribed in paragraph (1) in a contract for revolving guarantee by an individual."
"
In the sales contract between A and B, the quantity of the subject matter delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If the insufficiency in the quantity is due to grounds not attributable to either party, B may not cancel the contract for sale between A and B.
","If one of the parties does not perform that party's obligation, and the other party demands performance of that obligation, specifying a reasonable period of time, but no performance is completed during that period, the other party may cancel the contract; provided, however, that this does not apply if the non-performance of the obligations upon the passage of the period is minor in light of the contract and the common sense in the transaction.","(1) Products obtained from the intended use of a thing are its natural fruits.
(2) Money and other things that may be obtained in exchange for the use of any thing are civil fruits."
"
In the sales contract between A and B, the quantity of the subject matter delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If the insufficiency in the quantity is due to grounds not attributable to either party, B may not cancel the contract for sale between A and B.
","(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:","(1) If three years have passed from the time of the creation of a revolving mortgage, the mortgagor of the revolving mortgage may request the crystallizing of the principal secured. In this case, the principal secured is crystallized when two weeks have passed since the time of that request.
(2) A revolving mortgagee may request the crystallizing of the principal secured at any time. In this case, the principal secured is crystallized on the request of the same.
(3) The provisions of the preceding two paragraphs do not apply if the date on which the principal secured is to be crystallized is specified."
"
In the sales contract between A and B, the quantity of the subject matter delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If the insufficiency in the quantity is due to grounds not attributable to either party, B may not cancel the contract for sale between A and B.
","If non-performance of an obligation is due to grounds attributable to the obligee, the obligee may not cancel the contract under the preceding two Articles.","In the following cases, the performer may, with the permission of the court, sell the thing that is the subject matter of performance at public auction and deposit the proceeds of such sales with an official depository:"
"
In the contract for sale between A and B, the quantity of the subject matter delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. Even if delivery of the replenishment is possible, B may not request delivery of the replenishment.
","(1) In the case prescribed in the main clause of paragraph (1) of the preceding Article, if the buyer demands that the seller cure the non-conformity of performance by specifying a reasonable period of time but the non-conformity of performance is not cured within that period, the buyer may request a reduction of the price in proportion to the degree of non-conformity.
(2) Notwithstanding the provisions of the preceding paragraph, in the following cases, a buyer in good faith may request a reduction of the price immediately without making demand referred to in that paragraph:
(3) If the non-conformity referred to in paragraph (1) is due to grounds attributable to the buyer, the buyer may not request a reduction of the price under the provisions of the preceding two paragraphs.","(1) If the buyer pays earnest money to the seller, the buyer may cancel the contract by waiving the earnest money, or the seller may cancel the contract by actually providing the buyer with twice its amount; provided, however, that this does not apply after the counterparty commences performance of the contract.
(2) The provisions of Article 545, paragraph (4) do not apply to the cases referred to in the preceding paragraph."
"
In the contract for sale between A and B, the quantity of the subject matter delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If the insufficiency in the quantity is due to grounds attributable to B, B may not cancel the contract for sale between A and B.
","If non-performance of an obligation is due to grounds attributable to the obligee, the obligee may not cancel the contract under the preceding two Articles.","In the cases referred to in the preceding Article, the lessee referred to in that Article may cancel the contract if the lessee has made profits less than the rent for at least two consecutive years due to force majeure."
"
In the contract for sale between A and B, the quantity of the object delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If B fails to notify A of the non-conformity in the quantity within one year from the time when B becomes aware of it, B may not claim compensation for loss or damage, unless A knew or did not know due to gross negligence the non-conformity in the quantity at the time of the delivery.
","If the subject matter delivered by the seller to the buyer does not conform to the terms of the contract with respect to the kind or quality, and the buyer fails to notify the seller of the non-conformity within one year from the time when the buyer becomes aware of it, the buyer may not demand cure of the non-conformity of performance, demand a reduction of the price, claim compensation for loss or damage, or cancel the contract, on the grounds of the non-conformity; provided, however, that this does not apply if the seller knew or did not know due to gross negligence the non-conformity at the time of the delivery.","Even if the obligee exercises the subrogor's right, the obligor is not precluded from independently collecting or otherwise disposing of the subrogor's right. In such a case, the other party is not precluded from performing the obligation to the obligor with respect to the subrogor's right."
"
In the contract for sale between A and B, the quantity of the object delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If B fails to notify A of the non-conformity in the quantity within one year from the time when B becomes aware of it, B may not claim compensation for loss or damage, unless A knew or did not know due to gross negligence the non-conformity in the quantity at the time of the delivery.
","(1) If the subject matter delivered to the buyer does not conform to the terms of the contract with respect to the kind, quality or quantity, the buyer may demand that the seller cure the non-conformity of performance by repairing the subject matter, delivering the substitute or delivering the replenishment; provided, however, that the seller may cure the non-conformity of performance by a method that is different from the method demanded by the buyer if it does not impose any undue burden on the buyer.
(2) If the non-conformity referred to in the preceding paragraph is due to grounds attributable to the buyer, the buyer may not demand that the seller cure the non-conformity of performance under the provisions of that paragraph.","Upon tendering the performance, the obligor is relieved from any and all responsibilities which may arise from the non-performance of the obligation."
"
In the contract for sale between A and B, the quantity of the object delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If B fails to notify A of the non-conformity in the quantity within one year from the time when B becomes aware of it, B may not claim compensation for loss or damage, unless A knew or did not know due to gross negligence the non-conformity in the quantity at the time of the delivery.
",The provisions of the preceding two Articles do not preclude the buyer from claiming compensation for loss or damage pursuant to the provisions of Article 415 or exercising the right to cancel pursuant to the provisions of Articles 541 and 542.,"Beyond the cases referred to in the preceding Article, partners withdraw on the following grounds:"
"
In the contract for sale between A and B, the quantity of the object delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If B fails to notify A of the non-conformity in the quantity within one year from the time when B becomes aware of it, B may not claim compensation for loss or damage, unless A knew or did not know due to gross negligence the non-conformity in the quantity at the time of the delivery.
","(1) If an obligor fails to perform consistent with the purpose of the obligation or the performance of an obligation is impossible, the obligee may claim compensation for loss or damage arising from the failure; provided, however, that this does not apply if the failure to perform the obligation is due to grounds not attributable to the obligor in light of the contract or other sources of obligation and the common sense in the transaction.
(2) If the obligee is entitled to claim compensation for loss or damage pursuant to the provisions of the preceding paragraph, and any of the following cases applies, the obligee may claim compensation for loss or damage in lieu of the performance of the obligation:","If a possessor of servient land has possessed that land in conformity with the necessary requirements for acquisitive prescription, the servitude is extinguished thereby."
"
In the contract for sale between A and B, the quantity of the subject matter delivered by the seller A to the buyer B is insufficient and does not conform to the terms of the contract. If the insufficiency in the quantity is due to grounds attributable to B, B may not demand delivery of the replenishment even if delivery of the replenishment is possible.
","(1) If the subject matter delivered to the buyer does not conform to the terms of the contract with respect to the kind, quality or quantity, the buyer may demand that the seller cure the non-conformity of performance by repairing the subject matter, delivering the substitute or delivering the replenishment; provided, however, that the seller may cure the non-conformity of performance by a method that is different from the method demanded by the buyer if it does not impose any undue burden on the buyer.
(2) If the non-conformity referred to in the preceding paragraph is due to grounds attributable to the buyer, the buyer may not demand that the seller cure the non-conformity of performance under the provisions of that paragraph.","(1) If a mortgagee has the right to demand periodic payments including interest, that mortgagee may exercise the mortgage solely with respect to payments of the last two years before maturity; provided, however, that with respect to prior periodic payments, if special registration is effected after maturity, the mortgagee is not precluded from exercising the mortgage as from the time of that registration.
(2) If the mortgagee has the right to claim compensation for loss or damage resulting from defaults in obligations, the provisions of the preceding paragraph also apply mutatis mutandis to the loss or damage of the most recent two years; provided, however, that the aggregate period including the interest and other periodic payments may not exceed two years."
"
Gifts on donor’s death do not need to be made in writing, but can be concluded only by agreement of the parties.
","With respect to gifts that become effective on the death of the donor, the provisions regarding bequests apply mutatis mutandis, to the extent they are not inconsistent with the nature of gifts that become effective on the death of the donor.
Subsection 1 General Provisions","A mandatary must, if so requested by the mandator, report the current status of the administration of the mandated business at any time, and must report the process and results without delay upon termination of the mandate."
"
Gifts on donor’s death do not need to be made in writing, but can be concluded only by agreement of the parties.
","Gifts become effective by the manifestation of intention by one of the parties to give a certain property to the other party gratuitously, and the acceptance of the other party thereof.","If a possessor is likely to be obstructed from possession, the possessor may demand either the prevention of the obstruction or for the submission of security for the compensation for loss or damage by filing an action for preservation of possession."
"
In the case of gifts with burden, the donor may not cancel the gift on the ground that the donee has failed to perform the obligation that is donee’s burden.
","With respect to gifts with burden, beyond what is provided for in this Section, the provisions regarding bilateral contracts apply mutatis mutandis, to the extent those provisions are not inconsistent with the nature of gifts with burden.","(1) The provisions of Article 551 apply mutatis mutandis to a loan for consumption without a special agreement referred to in paragraph (1) of the preceding Article.
(2) Irrespective of whether there is any special agreement referred to in paragraph (1) of the preceding Article, if the thing delivered from the lender does not conform to the terms of the contract with respect to the kind or quality, the borrower may return the value of the delivered thing."
"
In the case of gifts with burden, the donor may not cancel the gift on the ground that the donee has failed to perform the obligation that is donee’s burden.
","If one of the parties does not perform that party's obligation, and the other party demands performance of that obligation, specifying a reasonable period of time, but no performance is completed during that period, the other party may cancel the contract; provided, however, that this does not apply if the non-performance of the obligations upon the passage of the period is minor in light of the contract and the common sense in the transaction.",The provisions of Articles 392 and 393 apply with respect to a revolving mortgage only when the fact that the revolving mortgage has been simultaneously established on several immovable properties to secure the same claim is registered.
"
In the case of gifts with burden, the donor may not cancel the gift on the ground that the donee has failed to perform the obligation that is donee’s burden.
","(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:",A person that has a claim arising from the causes set forth below has a statutory lien over specific immovables of the obligor:
"
Unless otherwise agreed, it is sufficient for the donor to deliver the thing that is the subject matter of the gift, while maintaining its condition  as of the time when it is specified as the subject matter of the gift.
","(1) The donor is presumed to have promised to deliver or transfer the thing or right that is the subject matter of the gift, while maintaining its condition as of the time when it is specified as the subject matter of the gift.
(2) With respect to gifts with burden, the donor provides the same warranty as that of a seller, to the extent of that burden.","(1) If two persons bear an obligation to each other that has the same kind of purpose and if both obligations are due, each obligor may be relieved from the obligation by setting off the value of that obligation against the corresponding amount of the obligation of the other obligor; provided, however, that this does not apply if the nature of the obligation does not permit such a set-off.
(2) Notwithstanding the provisions of the preceding paragraph, if a party manifests the intention to prohibit or restrict a set-off, that manifestation of the intention may be duly asserted against a third party only if the third party knew or did not know due to gross negligence it."
"
The donee may not cancel the gift with respect to the portion for which performance has not been completed, even if the gift is not made in writing.
","Gifts not in writing may be cancelled by either party; provided, however, that this does not apply to a portion of the gift for which performance has been completed.",The provisions of Articles 392 and 393 apply with respect to a revolving mortgage only when the fact that the revolving mortgage has been simultaneously established on several immovable properties to secure the same claim is registered.
"
A entered into a contract of loan for use with B to allow B to make use of building X owned by A. B may allow  third parties to make use of building X without obtaining A’s approval.
","(1) A borrower must make use of and take the profits of the thing in compliance with the method of use specified by the contract or by the nature of the thing which is the subject matter of the contract.
(2) A borrower may not allow third parties to make use of or take the profits of the thing without obtaining the approval of the lender.
(3) If a borrower has made use of or taken the profits of the thing in violation of the provisions of the preceding two paragraphs, the lender may cancel the contract.","In the cases provided for in the preceding Article, if the possessed thing constitutes stolen or lost property, the victim or the person that lost the thing may demand the return of that thing from the possessor within two years from the time of the loss or theft."
"
A entered into a contract of loan for use with B to allow B to make use of building X owned by A. If the purpose of the contract of loan for use between A and B was for B to hold exhibition Y, it would be terminated when B finished using the building as a venue for exhibition Y, even if the parties do not specify a period of the loan for use.
","(1) If the parties specify a period of a loan for use, the loan for use is terminated upon the expiration of the period.
(2) If the parties do not specify a period of a loan for use, but they specify the purpose of using and making profit from the borrowed thing, the loan for use is terminated when the borrower finishes using and making profit from the thing in line with the purpose.
(3) A loan for use is terminated upon the death of the borrower.","(1) A person that acquires a claim from a revolving mortgagee before the principal is crystallized may not exercise the revolving mortgage with respect to that claim. The same applies to a person that made payment for or on behalf of an obligor before the principal was crystallized.
(2) If an obligation is assumed before the principal is crystallized, the revolving mortgagee may not exercise the revolving mortgage with respect to the obligation of the person that assumes the obligation.
(3) If the assumption of obligation releasing an old obligor is effected before the principal is crystallized, the obligee may not transfer the revolving mortgage to the obligation assumed by the new obligor, notwithstanding the provisions of Article 472-4, paragraph (1).
(4) If any novation due to the substitution of the obligee is effected before the principal is crystallized, the obligee before the novation may not transfer the revolving mortgage to the obligations after the novation, notwithstanding the provisions of Article 518, paragraph (1). The same applies to the obligee in the case of novation due to the substitution of the obligor before the principal is crystallized."
"
A entered into a contract of loan for use with B to allow B to make use of building X owned by A. If the contract of loan for use between A and B is not made in writing, A may cancel the contract at any time until building X is delivered to B.
","The lender may cancel the contract up until the borrower receives the borrowed thing; provided, however, that this does not apply to a loan for use made in writing.",The creation and transfer of a real right becomes effective solely by the manifestations of intention of the parties.
"
A entered into a contract of loan for use with B to allow B to make use of building X owned by A. B attached removable shelves on the wall of building X upon making use of it. When the contract of loan for use is terminated, B must remove the shelves unless excessive expenses are required for the detachment.
","(1) If the borrower attaches anything to the borrowed thing after receiving it, the borrower has an obligation to remove the attached thing when the loan for use is terminated; provided, however, that this does not apply to anything that is unable to be detached from the borrowed thing or that requires excessive expenses for the detachment.
(2) The borrower may remove anything that the borrower has attached to the borrowed thing after receiving it.
(3) If any damage is caused to the borrowed thing after the borrower receives it, the borrower has an obligation to restore the damaged thing when the loan for use is terminated; provided, however, that this does not apply if the damage is caused due to any grounds not attributable to the borrower.","(1) When the right of the superficiary is extinguished, the superficiary may restore the land to its original state and remove structures and trees or bamboo on the same; provided, however, that if the owner of the land gives notice that the owner will purchase the same by offering to pay an amount equivalent to the market value, the superficiary may not refuse that offer without reasonable grounds.
(2) If there are customs that differ from the provisions of the preceding paragraph, those customs prevail."
"
A entered into a contract of loan for use with B to allow B to make use of building X owned by A. If B has defrayed the ordinarily necessary expenses with respect to building X, B may demand the reimbursement of the necessary expenses from A.
","(1) The borrower bears the ordinarily necessary expenses of borrowed thing.
(2) The provisions of Article 583, paragraph (2) apply mutatis mutandis to costs other than the ordinarily necessary expenses referred to in the preceding paragraph.","Even if one of the joint and several obligors is released from the obligation or the prescription period expires for one of the joint and several obligors, other joint and several obligors may exercise the right to reimbursement referred to in Article 442, paragraph (1) against that one joint and several obligor.
Subsection 5 Guarantee Obligation
Division 1 General Provisions"
"
A person with no authority of disposition may not grant a lease for a term that exceeds the period of the short-term leases.
","If a person with no authority of disposition makes a lease contract, the leases set forth in the following items must not exceed the terms specified in those items; any longer term specified by a contract is reduced to the term specified in the relevant item:","Any person may not assert a manifestation of intention against the other party thereto if that other party had no mental capacity or was a minor or an adult ward at the time of receiving it; provided, however, that this does not apply after either of the following persons learns of the manifestation of intention:"
"
Even if a lessee of land that is meant for cultivation obtains profits less than the rent due to force majeure, the lessee may not demand that the amount of the rent be reduced.
","If a lessee of land that is meant for cultivation or livestock farming obtains profits less than the rent due to force majeure, the lessee may demand that the amount of the rent be reduced to the level of the amount of the profits.","If an obligor is unable to provide a guarantor meeting the requirements set forth in any item of paragraph (1) of the preceding Article, the obligor may provide other security in lieu thereof."
"
When immovables that are leased are assigned, even if the assignor and the assignee agree to transfer the status of lessor to the assignee, the status of lessor may not be transferred to the assignee without the consent of the lessee.
","If the assignor of immovables is the lessor, the status of lessor may be transferred to the assignee by agreement between the assignor and the assignee, without the consent of the lessee. In such a case, the provisions of paragraphs (3) and (4) of the preceding Article apply mutatis mutandis.",The provisions of Article 645 through Article 647 apply mutatis mutandis to the benevolent intervention in another's business.
"
If it comes to no longer be possible to use or profit from the whole of a leased thing due to grounds such as loss, the lease is terminated thereby.
","If it comes to no longer be possible to use or profit from the whole of a leased thing due to grounds such as loss, the lease is terminated thereby.","A person subject to a decision for commencement of guardianship becomes an adult ward, and an adult guardian is appointed for that person."
"
If the lessee of immovables satisfies the requirements for perfection, the lessee may demand that a third party return the immovables when the third party is in possession of the immovables without legitimate title.
","If the lessee of immovables satisfies the requirements for perfection prescribed in Article 605-2, paragraph (1), the lessee may seek as specified in each of the following items in the cases set forth in the respective items:","(1) A subagent represents the principal with respect to acts within the scope of the authority thereof.
(2) A subagent has the same rights and obligations as an agent in relation to the principal and third parties within the scope of that subagent's authority."
"
A bailment becomes effective if one of the parties asks the other party to keep a certain thing in custody, and the other party gives consent to keeping it in custody.
","A bailment becomes effective if one of the parties asks the other party to keep a certain thing in custody, and the other party gives consent to keeping it in custody.","(1) A mortgagee may apply the mortgage to secure other claims, or assign or waive that mortgage, or its order of priority, for the benefit of other obligees of the same obligor.
(2) In the cases referred to in the preceding paragraph, if a mortgagee disposes of the mortgage for the benefit of two or more persons, the order of priority of the rights of persons who benefit from that disposition follows the chronological order of supplemental registration in the registration of the mortgage."
"
If the parties specify the time for the return of the bailed things, the bailor may not demand the return of the same until the time for the return has arrived.
","(1) Even if the parties specify the time for the return of the bailed things, the bailor may demand the return of the same at any time.
(2) In the case prescribed in the preceding paragraph, if the bailee sustains any damage because the bailor demands the return of the bailed thing prior to the time of return, the bailee may claim compensation therefor from the bailor.","If the person making a juridical act did not have mental capacity when manifesting the relevant intention, the juridical act is void."
"
The bailee may, without the consent of the bailor, have a third party keep the bailed thing in custody when there is a compelling reason to do so.
","(1) A bailee may not use the bailed thing without obtaining the consent of the bailor.
(2) The bailee may not have a third party keep the bailed thing in custody unless the bailee obtains the consent of the bailor or there is a compelling reason to do so.
(3) A sub-bailee has the same rights and obligations as those of the bailee in relation to the bailor within the scope of authority thereof.",The provisions of the preceding three Articles apply mutatis mutandis if the right transferred by the seller to the buyer does not conform to the terms of the contract (including the case in which the seller fails to transfer part of a right that belongs to another person).
"
If the things bailed by two or more persons are the same in kind and quality, the bailee may keep these things in custody by mixing them without obtaining the consent of the respective bailors.
","(1) If the things bailed by two or more persons are the same in kind and quality, the bailee may keep these things in custody by mixing them only if the bailee obtains the consent of the respective bailors.
(2) If the bailee keeps the bailed things by two or more bailors in custody by mixing them based on the provisions of the preceding paragraph, each bailor may demand the return of the thing in the same quantity as the thing bailed by respective bailor.
(3) In the case prescribed in the preceding paragraph, if any part of the bailed things is lost, each bailor may demand the return of the thing at the percentage of the thing bailed by respective bailor to all bailed things mixed and kept in custody by the bailee. In such a case, no bailor is precluded from claiming compensation for loss or damage.","(1) If a tree or bamboo branch from neighboring land crosses a boundary line, the landowner may have the owner of that tree or bamboo sever that branch.
(2) If a tree or bamboo root from neighboring land crosses a boundary line, the owner of the land may sever that root."
"
If a third party claiming rights with respect to the bailed thing has filed a lawsuit against the bailee, the bailee must notify the bailor of that fact without delay, unless the bailor already knows it.
","(1) If a third party claiming rights with respect to the bailed thing has filed a lawsuit against the bailee, or has effected an attachment, provisional seizure, or provisional disposition, the bailee must notify the bailor of that fact without delay; provided, however, that this does not apply if the bailor already knows it.
(2) Even if a third party claims a right for the bailed thing, the bailee must return the bailed thing to the bailor unless the bailor gives instructions to the contrary; provided, however, that this does not apply if the bailee notifies the bailor in advance as referred to in the preceding paragraph or is not required to notify pursuant to the provisions of the proviso to that paragraph, and the bailee delivers the bailed thing to a third party based on a final and binding judgment (including anything that has the same effect as a final and binding judgment) ordering the delivery of the bailed thing to that third party.
(3) If the bailee is required to return the bailed thing to the bailor pursuant to the provisions of the preceding paragraph, the bailee is not liable to compensate any damage sustained by a third party due to the delivery of the bailed thing to the bailor.","Even if there are any grounds for the nullity or rescission of a manifestation of intention by one of the partners, the validity of the partnership contract is not impaired in relation to other partners."
"
If monies are the subject of contribution, a partner who fails to make the contribution must pay interest on the same and otherwise compensate for loss or damage.
","If monies are the subject of contribution and a partner fails to make the contribution, that partner must pay interest on the same and otherwise compensate for loss or damage.","If more than one pledge is created with respect to the same movables, the order of priority of those pledges follow the chronological order of their creation."
"
If parties have not specified the proportions of distributions of the partnership's profits and losses in a partnership contract, profits and losses are distributed to each partner in equal proportions. 
","(1) If parties have not specified the proportions of distributions of the partnership's profits and losses, these proportions are determined in accordance with the value of each partner's contribution.
(2) If the proportions of distributions have been specified solely with respect to either profits or losses, it is presumed that those proportions are common to profits and losses.",An employment contract becomes effective when a first party promises to a second party that the first party will engage in work and the second party promises to pay remuneration for this.
"
A creditor of a partnership may, at the choice of the creditor, exercise the rights of the creditor against each partner in equal proportions, even if a creditor of a partnership knew the proportion of each partner's share of loss at the time of occurrence of the claim.
","(1) A creditor of a partnership may exercise the rights of the creditor against the partnership property.
(2) A creditor of a partnership may, at the choice of the creditor, exercise the rights of the creditor against each partner in proportion to their shares of loss or in equal proportions; provided, however, that if a creditor of a partnership knew the proportion of each partner's share of loss at the time of occurrence of the claim, the exercise of the creditor's rights is based on those proportions.","(1) If a claim for payment of money subject to the manifestation of intention to restrict assignment is assigned to a third party, the obligor may deposit the amount of money equivalent to the full amount of the claim with an official depository having jurisdiction over the place of performance of the obligation (including the current domicile of the assignor if the place of performance of the obligation is determined on the basis of the current domicile of the obligee; the same applies in the following Article).
(2) An obligor that has made a deposit pursuant to the provisions of the preceding paragraph must notify the assignor and the assignee of the deposit without delay.
(3) Only the assignee is entitled to request the refund of the money deposited pursuant to the provisions of paragraph (1)."
"
A withdrawing partner is liable to perform obligations of the partnership that have arisen before that partner's withdrawal, to the extent of that partner's previous liability.
","(1) A withdrawing partner is liable to perform obligations of the partnership that have arisen before that partner's withdrawal, to the extent of that partner's previous liability. In such a case, until a creditor receives the full performance of the obligation, the withdrawing partner may demand that the partnership provide security or exempt the partner from liability in relation to the partnership.
(2) A withdrawing partner acquires a right to reimbursement from the partnership if the partner performs an obligation of the partnership prescribed in the preceding paragraph.",Deleted
"
A partner's creditor may exercise the rights of that creditor against the partnership property to the extent of the partner’s interest.
",A partner's creditor may not exercise the rights of that creditor against the partnership property.,"If repairs are necessary for the leased thing, the lessee may make repairs in the following cases:"
"
If a minor has inflicted damage on another person, the person with parental authority over the minor may be liable to compensate for the damage, but the minor will never be liable to compensate for the damage.
",A person that has intentionally or negligently infringed the rights or legally protected interests of another person is liable to compensate for damage resulting in consequence.,"(1) As long as the obligee does not accept the deposit, or the judgment which pronounces that the deposit is effective does not become final and binding, the performer may recover the deposited thingy. In such case, it is deemed that no deposit has been effected.
(2) The provisions of the preceding paragraph do not apply in cases any pledge or mortgage has been extinguished due to the deposit."
"
If a minor has inflicted damage on another person, the person with parental authority over the minor may be liable to compensate for the damage, but the minor will never be liable to compensate for the damage.
","A person liable for compensation for loss or damage pursuant to the provisions of the preceding Article must also compensate for loss or damage other than of property, regardless of whether that person infringed the body, liberty or reputation of another person, or infringed property rights of another person.",The grounds of termination of mandate may not be asserted against the other party unless the other party was notified of or knew of the same.
"
If a minor has inflicted damage on another person, the person with parental authority over the minor may be liable to compensate for the damage, but the minor will never be liable to compensate for the damage.
","If a minor has inflicted damage on another person but did not have sufficient intellectual capacity to appreciate their own liability for that act, that minor is not liable to compensate for that act.","(1) A guarantee contract under which the principal obligation is a loan obligation assumed for business or a contract for a revolving guarantee under which the scope of the principal obligation includes a loan obligation assumed for business does not become effective unless the person that will become a guarantor manifests, prior to the conclusion of the contract, the intention to perform the guarantee obligation by means of a notarial instrument prepared within one month prior to the day of conclusion of the contract.
(2) The notarial instrument referred to in the preceding paragraph must be prepared in compliance with the following formalities:
(3) The provisions of the preceding two paragraphs do not apply if the person that will become a guarantor is a corporation."
"
If the contractor inflicts damage on a third party with respect to the contractor’s work, a party ordering work who is not negligent with regards to the order or instructions is not liable to compensate for the damage.
","A party ordering work is not liable to compensate for damage a contractor inflicted on a third party with respect to that work; provided, however, that this does not apply if the party ordering work is negligent with regards to the order or instructions.",A voidable act may not be rescinded after the person prescribed in Article 120 ratifies it.
"
A person who has inflicted damage on another person while in a condition wherein the person lacked the capacity to appreciate their own liability for their acts is liable to compensate for this, if the person has temporarily caused that condition, intentionally or negligently.
","A person who has inflicted damage on another person while in a condition wherein the person lacked the capacity to appreciate their own liability for their acts due to a mental disability is not liable to compensate for this; provided, however, that this does not apply if the person has temporarily caused that condition, intentionally or negligently.","(1) An option contract for a purchase and sale made by one party becomes effective when the other party manifests the intention to complete the purchase and sale.
(2) If no period is provided in relation to the manifestation of intention referred to in the preceding paragraph, the party to the option contact may issue a notice of demand to the other party, specifying a reasonable period of time, to the effect that the other party is to give a definite answer as to whether or not that party will complete the sale within that period. In such cases, if the other party fails to give a definite answer within that period, the option contract for a purchase and sale by one party ceases to be effective."
"
The claim for compensation for loss or damage for death or injury to person caused by tort is not extinguished by prescription.
","For the purpose of the application of the provisions of item (i) of the preceding Article with regard to the extinctive prescription of the claim for compensation for loss or damage for death or injury to person caused by tort, the term ""three years"" in the same item is deemed to be replaced with ""five years"".","A person that is entitled to the right-of-way under the provisions of Article 210 must pay compensation for damage caused to the other land that the same person passes through; provided, however, that except for damage arising from the construction of a road, compensation may be paid on an annual basis."
"
The claim for compensation for loss or damage for death or injury to person caused by tort is not extinguished by prescription.
","In the following cases, the claim for compensation for loss or damage caused by tort is extinguished by prescription:","The provisions of Article 296, Article 304 and Article 351 apply mutatis mutandis to mortgages."
"
Even if an employer compensates a third party for damage based on the liability of employers for the employee's harmful act, the employer's right to reimbursement against the employee does not arise.
","(1) A person that employs another person for a business undertaking is liable to compensate for damage inflicted on a third party by that person's employees with respect to the execution of that business; provided, however, that this does not apply if the employer exercised reasonable care in appointing the employee or in supervising the business, or if the damage could not have been avoided even if the employer had exercised reasonable care.
(2) A person that supervises a business on behalf of the employer also has the liability referred to in the preceding paragraph.
(3) The provisions of the preceding two paragraphs do not preclude the employer or supervisor from exercising their right to reimbursement against the employee.",The provisions of Article 620 apply mutatis mutandis to partnership contracts.
"
B, who had possessed land X in bad faith , may not claim reimbursement from A for the ordinary and necessary expenses defrayed with respect to land X when land X is returned to A.
","(1) If a possessor returns a thing in the possession thereof, the possessor may have the person recovering the thing reimburse the possessor for the costs the possessor has paid for its preservation and other necessary expenses; provided, however, that if the possessor has acquired fruits, ordinary and necessary expenses are borne by the possessor.
(2) With respect to the costs paid for by a possessor to improve the thing in the possession thereof and other beneficial expenses, the possessor may have the person recovering the thing reimburse the possessor for either the costs the possessor has paid or the amount of the increased value, whichever the person recovering the thing chooses, but only if there is a current increase in value; provided, however, that with regard to a possessor in bad faith, the court may, at the request of the person recovering the thing, grant a reasonable period of time for the same.","(1) In the following cases, a performer may deposit the subject matter of the performance with an official depository for the benefit of the obligee. In such a case, the claim is extinguished when the performer makes the deposit:
(2) The preceding paragraph also applies if the performer is unable to ascertain the obligee; provided, however, that this does not apply if the performer is negligent in this respect."
